assessid,stockid,mgmt,assessor,years,start_year,report_year,method,methodshort,methodlong,country,region,area,areaid,stocklong,class,order,family,genus,species,species_orig,comm_name,assess_if_mostrecent,assesssource,state_of_stock,primary_country,primary_FAOarea,assess_notes,M,M_year,M_notes,M_source,M_source_notes,B_start,B_end,F_start,F_end,C_start,C_end,terminal_year,assess_order,ty,ty_minus1,key_ty,key_ty_minus1,B_ty,B_ty_minus1,B_type,B_unit,TBbest_ty,TBbest_ty_minus1,TB_ty,TB_ty_minus1,TN_ty,TN_ty_minus1,SSB_ty,SSB_ty_minus1,SSB_E00eggs_ty,SSB_E00eggs_ty_minus1,F_ty,F_ty_minus1,F_type,F_unit,ERbest_ty,ERbest_ty_minus1,ER_ty,ER_ty_minus1,instF_ty,instF_ty_minus1
ISC-ALBANPAC-1952-2015-PONS,ALBANPAC,ISC,ISC,1952-2015,1952,2015,Integrated Analysis,SS3,Stock Synthesis v3.0 model,multinational,Pacific Ocean,North Pacific Ocean,multinational-ISC-NPAC,Albacore tuna North Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,NULL,Current,Japan,61,NULL,NA,NA,NA,NA,NA,1993,2015,1993,2015,1952,2015,2015,1,2012,2011,ISC-ALBANPAC-1952-2015-PONS_2012,ISC-ALBANPAC-1952-2015-PONS_2011,895000,899000,TBbest-MT,MT,895000,899000,895000,899000,NA,NA,73000,81600,NA,NA,0.103798883,0.090100111,ERbest-ratio,ratio,0.103798883,0.090100111,NA,NA,0.51,0.5
ICCAT-ALBASATL-1950-2015-PONS,ALBASATL,ICCAT,ICCAT,1950-2015,1950,2015,Biomass dynamics model,ASPIC,Surplus production model,multinational,Atlantic Ocean,South Atlantic,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,0,http://www.iccat.es/Documents/CVSP/CV070_2014/n_3/CV070030830.pdf,Current,Taiwan,47,"time series results: average of 4 runs, http://rscloud.iccat.int/kobe/Inputs/albs/2013/aspic/",NA,NA,NA,NA,NA,1956,2012,1956,2012,1950,2015,2012,2,2012,2011,ICCAT-ALBASATL-1950-2015-PONS_2012,ICCAT-ALBASATL-1950-2015-PONS_2011,149000,158000,TBbest-MT,MT,149000,158000,149000,158000,NA,NA,NA,NA,NA,NA,0.168456376,0.152531646,ERbest-ratio,ratio,0.168456376,0.152531646,NA,NA,NA,0.192
ICCAT-ALBASATL-1951-2016-PONS,ALBASATL,ICCAT,ICCAT,1951-2016,1951,2016,Biomass dynamics model,ASPIC,Surplus production model,multinational,Atlantic Ocean,South Atlantic,multinational-ICCAT-SATL,Albacore tuna South Atlantic,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,http://iccat.es/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf,Current,Taiwan,47,No B or F estimates in the report,NA,NA,NA,NA,NA,1955,2013,1955,2013,1951,2016,2013,1,2012,2011,ICCAT-ALBASATL-1951-2016-PONS_2012,ICCAT-ALBASATL-1951-2016-PONS_2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPC-ALBASPAC-1952-2015-PONS,ALBASPAC,WCPFC,SPC,1952-2015,1952,2015,Unknown,Unknown,Unknown,multinational,Pacific Ocean,South Pacific Ocean,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,999,NULL,Current,Taiwan,81,NULL,NA,NA,NA,NA,NA,1960,2013,1960,2013,1952,2015,2013,1,2010,2009,SPC-ALBASPAC-1952-2015-PONS_2010,SPC-ALBASPAC-1952-2015-PONS_2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212000,222000,NA,NA,0.547,0.501,F-1/yr,1/yr,NA,NA,NA,NA,0.547,0.501
SPC-ALBASPAC-1960-2010-PONS,ALBASPAC,WCPFC,SPC,1960-2010,1960,2010,Statistical catch at age model,MULTIFAN-CL,"A length-based, age and spatially-structured model for fisheries stock assessment",multinational,Pacific Ocean,South Pacific Ocean,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus alalunga,Thunnus alalunga,Albacore tuna,0,http://www.wcpfc.int/system/files/SA-WP-04-Stock-Assessment-Albacore-Tuna-SPO-Rev-1.pdf,Current,Taiwan,81,"data are from MULTIFAN-CL output files, from: http://www.spc.int/OceanFish/en/publications/cat_view/116-ofp-publications-a-documents/131-stock-assessment-and-modelling/181-stock-assessments/229-input-and-result-files/318-2012/319--albacore",0.4,NULL,,NA,NA,1960,2010,1960,2010,1960,2010,2010,2,2010,2009,SPC-ALBASPAC-1960-2010-PONS_2010,SPC-ALBASPAC-1960-2010-PONS_2009,1294560,1277856,TBbest-MT,MT,1294560,1277856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFSC-ALPLAICBSAI-1972-2010-STACHURA,ALPLAICBSAI,NMFS,AFSC,1972-2010,1972,2010,Statistical catch at age model,AD-CAM,an AD-Model builder statistical Catch at Age Model,USA,US Alaska,Bering Sea and Aleutian Islands,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Alaska plaice,0,http://www.afsc.noaa.gov/REFM/docs/2010/BSAIplaice.pdf,Current,USA,67,NULL,0.25,NULL,result of previous assessment profiling; may range from 0.195 for males to 0.27 for females,NA,NA,1975,2010,1975,2010,1975,2010,2010,2,2010,2009,AFSC-ALPLAICBSAI-1972-2010-STACHURA_2010,AFSC-ALPLAICBSAI-1972-2010-STACHURA_2009,765000,746000,TBbest-MT,MT,765000,746000,765000,746000,NA,NA,300000,283000,NA,NA,0.018169935,0.018632708,ERbest-ratio,ratio,0.018169935,0.018632708,NA,NA,0.0335,0.0352
AFSC-ALPLAICBSAI-1975-2015-SISIMP2016,ALPLAICBSAI,NMFS,AFSC,1975-2015,1975,2015,Unknown,Unknown,Unknown,USA,US Alaska,Bering Sea and Aleutian Islands,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Alaska plaice,999,,Current,USA,67,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1975,2015,1975,2014,1975,2014,2014,1,2010,2009,AFSC-ALPLAICBSAI-1975-2015-SISIMP2016_2010,AFSC-ALPLAICBSAI-1975-2015-SISIMP2016_2009,554000,557000,TBbest-MT,MT,554000,557000,554000,557000,NA,NA,224000,219000,NA,NA,0.029241877,0.024955117,ERbest-ratio,ratio,0.029241877,0.024955117,NA,NA,0.0482,0.0423
DFO-AMPL23K-1960-2012-WATSON,AMPL23K,DFO,DFO,1960-2012,1960,2012,Unknown,Unknown,Unknown,Canada,Canada East Coast,Labrador - NE Newfoundland,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,http://www.dfo-mpo.gc.ca/Csas-sccs/publications/resdocs-docrech/2012/2012_152-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,1978,2011,1978,2011,1960,2012,2011,1,2003,2002,DFO-AMPL23K-1960-2012-WATSON_2003,DFO-AMPL23K-1960-2012-WATSON_2002,8000,6800,TBbest-MT,MT,8000,6800,8000,6800,51500000,40300000,NA,NA,NA,NA,0.00425,0.014705882,ERbest-ratio,ratio,0.00425,0.014705882,NA,NA,NA,NA
DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE,AMPL23K,DFO,DFO-NFLD,1960-2004,1960,2004,Survey index,Survey indices,Temporal indices derived from scientific survey data,Canada,Canada East Coast,Labrador - NE Newfoundland,Canada-DFO-23K,American plaice Labrador - NE Newfoundland,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,Current,Canada,21,The fishing mortality is estimated by the catch/index survey biomass and can be found in the report as a time series in Figure 18. The index for female spawning stock biomass is also found as a time series in the assessment in Figure 12. The time series f,NA,NA,NA,NA,NA,1978,2004,1978,2003,1960,2003,2003,2,2003,2002,DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE_2003,DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE_2002,8010,6820,TBbest-MT,MT,8010,6820,8010,6820,NA,NA,3620,6940,NA,NA,0.00424,0.0144,ERbest-ratio,ratio,0.00424,0.0144,0.00424,0.0144,NA,NA
DFO-AMPL3Ps-1960-2013-WATSON,AMPL3Ps,DFO,DFO,1960-2013,1960,2013,Biomass dynamics model,BSPM,Bayesian Surplus Production Model,Canada,Canada East Coast,St. Pierre Bank,Canada-DFO-3Ps,American plaice St. Pierre Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2014/2014_098-eng.pdf,Current,Canada,21,NULL,NA,NA,NA,NA,NA,1983,2013,NA,NA,1960,2013,2013,1,2005,2004,DFO-AMPL3Ps-1960-2013-WATSON_2005,DFO-AMPL3Ps-1960-2013-WATSON_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE,AMPL3Ps,DFO,DFO-NFLD,1960-2005,1960,2005,Unknown,Unknown,Unknown,Canada,Canada East Coast,St. Pierre Bank,Canada-DFO-3Ps,American plaice St. Pierre Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,Current,Canada,21,For the recruitment time series the data from 1983 to 1995 are Campelen equivalents due to changes in fishing gear.,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,2005,2005,2,2005,2004,DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE_2005,DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEFSC-AMPL5YZ-1960-2010-HIVELY,AMPL5YZ,NMFS,NEFSC,1960-2010,1960,2010,VPA,ADAPT,A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.,USA,US East Coast,Gulf of Maine / Georges Bank,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,0,http://www.nefsc.noaa.gov/,Current,USA,21,NULL,0.2,NULL,,NA,NA,1980,2010,1980,2010,1960,2010,2010,2,2010,2009,NEFSC-AMPL5YZ-1960-2010-HIVELY_2010,NEFSC-AMPL5YZ-1960-2010-HIVELY_2009,17600,16900,SSB-MT,MT,NA,NA,NA,NA,NA,NA,17600,16900,NA,NA,0.09,0.12,F-1/yr,1/yr,NA,NA,NA,NA,0.09,0.12
NEFSC-AMPL5YZ-1980-2014-SISIMP2016,AMPL5YZ,NMFS,NEFSC,1980-2014,1980,2014,VPA,VPA,Virtual Population Analysis,USA,US East Coast,Gulf of Maine / Georges Bank,USA-NMFS-5YZ,American plaice Gulf of Maine / Georges Bank,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides platessoides,Hippoglossoides platessoides,American plaice,999,,Current,USA,21,Imported from SIS data dump received 2016,NA,NA,NA,NA,NA,1980,2014,1980,2014,1980,2014,2014,1,2010,2009,NEFSC-AMPL5YZ-1980-2014-SISIMP2016_2010,NEFSC-AMPL5YZ-1980-2014-SISIMP2016_2009,14000,13000,SSB-MT,MT,NA,NA,NA,NA,NA,NA,14000,13000,NA,NA,0.14,0.2,F-1/yr,1/yr,NA,NA,NA,NA,0.14,0.2
WGHANSA-ANCHIXa-1989-2016-ICESIMP2016,ANCHIXa,ICES,WGHANSA,1989-2016,1989,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/ane-pore.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2016,NA,NA,NA,NA,NA,NA,NA,1999,2015,1989,2015,2015,3.5,2015,2014,WGHANSA-ANCHIXa-1989-2016-ICESIMP2016_2015,WGHANSA-ANCHIXa-1989-2016-ICESIMP2016_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253,0.303,ERbest-ratio,ratio,0.253,0.303,0.253,0.303,NA,NA
WGHANSA-ANCHIXa-1989-2016-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1989-2016,1989,2016,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2015/2015/ane-pore.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1999,2016,1999,2015,1989,2015,2015,3.5,2015,2014,WGHANSA-ANCHIXa-1989-2016-ICESIMP2018_2015,WGHANSA-ANCHIXa-1989-2016-ICESIMP2018_2014,27200,29900,SSB-MT,MT,NA,NA,NA,NA,NA,NA,27200,29900,NA,NA,0.253,0.303,ERbest-ratio,ratio,0.253,0.303,0.253,0.303,NA,NA
WGHANSA-ANCHIXa-1989-2018-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1989-2018,1989,2018,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1989,2018,1989,2017,NA,NA,2017,1.5,2015,2014,WGHANSA-ANCHIXa-1989-2018-ICESIMP2018_2015,WGHANSA-ANCHIXa-1989-2018-ICESIMP2018_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WGHANSA-ANCHIXa-1999-2017-ICESIMP2018,ANCHIXa,ICES,WGHANSA,1999-2017,1999,2017,Unknown,Unknown,Unknown,multinational,Europe (EU),Portugese Waters -East,multinational-ICES-IXa,Anchovy Portugese Waters -East,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/ane.27.9a.pdf,Current,Spain,27,Imported from ICES data dump covering 2011-2018,NA,NA,NA,NA,NA,1999,2017,NA,NA,NA,NA,2017,1.5,2015,2014,WGHANSA-ANCHIXa-1999-2017-ICESIMP2018_2015,WGHANSA-ANCHIXa-1999-2017-ICESIMP2018_2014,27200,29900,SSB-MT,MT,NA,NA,NA,NA,NA,NA,27200,29900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI,ANCHMEDGSA16,GFCM,CNR-IAMC,1998-2011,1998,2011,Biomass dynamics model,NELOG,Non-equilibrium logistic surplus production model,multinational,Mediterranean-Black Sea,South of Sicily,multinational-GFCM-GSA16,Anchovy South of Sicily,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,0,http://151.1.154.86/GfcmWebSite/SAC/SCSA/14/SAFs.html,Current,Italy,37,time series obtained from figures using PlotDigitizer.,0.66,NULL,,NA,NA,1998,2011,1998,2011,1998,2011,2011,1.5,2011,2010,CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI_2011,CNR-IAMC-ANCHMEDGSA16-1998-2011-BANOBI_2010,9470,12200,TBbest-MT,MT,9470,12200,9470,12200,NA,NA,NA,NA,NA,NA,NA,0.275,NA,NA,0.461457233,0.419672131,NA,NA,NA,0.275
STECF-ANCHMEDGSA16-2004-2011-OSIO,ANCHMEDGSA16,GFCM,STECF,2004-2011,2004,2011,VPA,XSA,Extended Survivor Analysis,multinational,Mediterranean-Black Sea,South of Sicily,multinational-GFCM-GSA16,Anchovy South of Sicily,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis encrasicolus,Engraulis encrasicolus,Anchovy,999,https://stecf.jrc.ec.europa.eu/documents/43805/544890/2013-04_STECF+13-05+-+Med+stock+assessments_JRC81592.pdf,Current,Italy,37,JRC Meeting: 2013-04_STECF 13-05,NA,NA,NA,NA,NA,2004,2011,2004,2011,2004,2011,2011,1.5,2011,2010,STECF-ANCHMEDGSA16-2004-2011-OSIO_2011,STECF-ANCHMEDGSA16-2004-2011-OSIO_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10700,12100,NA,NA,0.72,0.86,F-1/yr,1/yr,NA,NA,NA,NA,0.72,0.86
